,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
0,Kyle Hendricks,CHC,SP,MIL at CHC,3.5,3.5,0.4291845493562232,0.5726495726495726,(+133),(-134),2022-04-07
1,Corbin Burnes,BAL,SP,MIL at CHC,6.5,7.5,0.588477366255144,0.5535714285714286,(-143),(-124),2022-04-07
2,Zack Greinke,FA,SP,CLE at KC,3.5,3.5,0.574468085106383,0.42735042735042733,(-135),(+134),2022-04-07
3,Shane Bieber,CLE,SP,CLE at KC,6.5,6.5,0.46511627906976744,0.5238095238095238,(+115),(-110),2022-04-07
4,Adam Wainwright,FA,SP,PIT at STL,4.5,4.5,0.45454545454545453,0.5689655172413793,(+120),(-132),2022-04-07
5,Jonathan Brubaker,PIT,SP,PIT at STL,3.5,4.5,0.6363636363636364,0.6254681647940075,(-175),(-167),2022-04-07
6,Patrick Corbin,WSH,SP,NYM at WSH,3.5,4.5,0.6268656716417911,0.6031746031746031,(-168),(-152),2022-04-07
7,Tylor Megill,NYM,SP,NYM at WSH,3.5,4.5,0.6363636363636364,0.5934959349593496,(-175),(-146),2022-04-07
8,Tyler Mahle,TEX,SP,CIN at ATL,4.5,5.5,0.588477366255144,0.6062992125984252,(-143),(-154),2022-04-07
9,Max Fried,ATL,SP,CIN at ATL,4.5,5.5,0.6078431372549019,0.5867768595041323,(-155),(-142),2022-04-07
10,Framber Valdez,HOU,SP,HOU at LAA,4.5,4.5,0.5391705069124424,0.504950495049505,(-117),(-102),2022-04-07
11,Shohei Ohtani,LAD,"DH,SP",HOU at LAA,4.5,5.5,0.609375,0.6254681647940075,(-156),(-167),2022-04-07
12,Madison Bumgarner,FA,SP,SD at ARI,3.5,4.5,0.6078431372549019,0.5689655172413793,(-155),(-132),2022-04-07
13,Yu Darvish,SD,SP,SD at ARI,5.5,5.5,0.5454545454545454,0.4716981132075472,(-120),(+112),2022-04-07
14,Nathan Eovaldi,TEX,SP,BOS at NYY,4.5,5.5,0.5535714285714286,0.5495495495495496,(-124),(-122),2022-04-08
15,Gerrit Cole,NYY,SP,BOS at NYY,6.5,6.5,0.5348837209302325,0.5121951219512195,(-115),(-105),2022-04-08
16,Lucas Giolito,BOS,SP,CWS at DET,5.5,5.5,0.5,0.49019607843137253,(EVEN),(+104),2022-04-08
17,Eduardo Rodriguez,ARI,SP,CWS at DET,4.5,4.5,0.5370370370370371,0.4484304932735426,(-116),(+123),2022-04-08
18,Frankie Montas,CIN,"SP,RP",OAK at PHI,5.5,5.5,0.5370370370370371,0.49019607843137253,(-116),(+104),2022-04-08
19,Aaron Nola,PHI,SP,OAK at PHI,6.5,6.5,0.5169082125603864,0.504950495049505,(-107),(-102),2022-04-08
20,Shane Mcclanahan,TB,SP,BAL at TB,5.5,5.5,0.5169082125603864,0.5192307692307693,(-107),(-108),2022-04-08
21,John Means,BAL,SP,BAL at TB,4.5,4.5,0.5098039215686274,0.5,(-104),(EVEN),2022-04-08
22,Robbie Ray,SF,SP,SEA at MIN,6.5,7.5,0.6,0.5370370370370371,(-150),(-116),2022-04-08
23,Joe Ryan,MIN,SP,SEA at MIN,4.5,4.5,0.5238095238095238,0.43478260869565216,(-110),(+130),2022-04-08
24,Walker Buehler,LAD,SP,LAD at COL,4.5,4.5,0.5348837209302325,0.43859649122807015,(-115),(+128),2022-04-08
25,Kyle Freeland,COL,SP,LAD at COL,3.5,3.5,0.4878048780487805,0.5555555555555556,(+105),(-125),2022-04-08
26,Logan Webb,SF,SP,MIA at SF,5.5,5.5,0.43859649122807015,0.47619047619047616,(+128),(+110),2022-04-08
27,Sandy Alcantara,MIA,SP,MIA at SF,5.5,5.5,0.45454545454545453,0.574468085106383,(+120),(-135),2022-04-08
28,Max Scherzer,TEX,SP,NYM at WSH,5.5,6.5,0.6078431372549019,0.5370370370370371,(-155),(-116),2022-04-08
29,Josiah Gray,WSH,SP,NYM at WSH,4.5,4.5,0.4716981132075472,0.5370370370370371,(+112),(-116),2022-04-08
30,Jose Berrios,TOR,SP,TEX at TOR,5.5,5.5,0.5215311004784688,0.5121951219512195,(-109),(-105),2022-04-08
31,Jonathan Gray,TEX,SP,TEX at TOR,4.5,4.5,0.5238095238095238,0.4484304932735426,(-110),(+123),2022-04-08
32,Charlie Morton,ATL,SP,CIN at ATL,5.5,5.5,0.5283018867924528,0.5283018867924528,(-112),(-112),2022-04-08
33,Reid Detmers,LAA,SP,HOU at LAA,3.5,4.5,0.6363636363636364,0.6,(-175),(-150),2022-04-08
34,Merrill Kelly,ARI,SP,SD at ARI,4.5,4.5,0.43478260869565216,0.6062992125984252,(+130),(-154),2022-04-08
35,Sean Manaea,NYM,"SP,RP",SD at ARI,4.5,4.5,0.6226415094339622,0.43478260869565216,(-165),(+130),2022-04-08
36,Drew Rasmussen,TB,SP,BAL at TB,3.5,3.5,0.6,0.46511627906976744,(-150),(+115),2022-04-09
37,Jordan Lyles,KC,SP,BAL at TB,4.5,4.5,0.4878048780487805,0.4716981132075472,(+105),(+112),2022-04-09
38,Casey Mize,DET,SP,CWS at DET,3.5,3.5,0.5689655172413793,0.45871559633027525,(-132),(+118),2022-04-09
39,Dylan Cease,CWS,SP,CWS at DET,5.5,6.5,0.5967741935483871,0.5555555555555556,(-148),(-125),2022-04-09
