Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Aaron Nola","PHI",13,9,,3.83509,32,32,0,0,195,794,178,90,83,22,39,,6,203,9.36359,1.79303,5.22222,0.996126,0.255782,0.0489796,0.20680271089076996,0.238095,1.11234,0.298969,0.682081,,,3.31038,5.32131,3.7882,50.810001373291016,,,,"16149"
"Spencer Strider","ATL",16,7,,3.28386,31,31,0,0,176,713,132,69,64,21,53,,10,254,13.0241,2.72727,4.77551,1.05751,0.356164,0.0745814,0.2815829664468765,0.203673,1.05751,0.297688,0.740997,,,2.96438,5.087,4.80095,6.829999923706055,,,,"27498"
"Zack Wheeler","PHI",12,8,,3.61047,32,32,0,0,192,797,173,84,77,18,54,,8,192,9,2.51163,3.58333,0.837209,0.241234,0.0673212,0.17391304671764374,0.235562,1.18023,0.295745,0.708749,,,3.42365,5.07418,4.21804,24.899999618530273,,,,"10310"
"Logan Webb","SFG",14,9,,3.32812,32,32,0,0,201,824,189,80,74,17,43,,7,173,7.78125,1.92187,4.04878,0.75,0.21066,0.0520305,0.15862945094704628,0.244595,1.15625,0.295699,0.726453,,,3.35921,4.33987,4.88774,60.33000183105469,,,,"17995"
"Corbin Burnes","BAL",11,8,,3.31844,32,32,0,0,193,788,156,77,71,18,60,,9,213,9.90503,2.81564,3.51786,0.854749,0.269863,0.0767123,0.19315068423748016,0.216216,1.11732,0.280973,0.732123,,,3.36119,4.29559,4.61612,24.3799991607666,,,,"19361"
"Kevin Gausman","TOR",13,8,,3.46154,32,32,0,0,189,781,177,78,73,25,45,,3,206,9.79882,2.13018,4.6,1.1716,0.263233,0.0572246,0.20600857958197594,0.240854,1.1716,0.302222,0.76555,,,3.53315,4.278,4.30468,27.329999923706055,,,,"14107"
"Luis Castillo","SEA",13,9,,3.26716,32,32,0,0,190,775,158,75,69,19,56,,6,202,9.54623,2.65457,3.59615,0.918888,0.260446,0.0724234,0.18802228569984436,0.221212,1.12309,0.281319,0.746528,,,3.44789,4.21762,4.46078,29.520000457763672,,,,"15689"
"Yoshinobu Yamamoto","LAD",16,8,,3.52014,29,29,0,0,192,754,146,81,75,25,39,,6,187,8.77408,1.83888,4.77143,1.15587,0.248512,0.0520833,0.1964285783469677,0.205696,0.963222,0.243792,0.692996,,,3.67536,4.17319,4.28441,44.400001525878906,,,,"sa3023345"
"Pablo López","MIN",11,8,,3.67876,32,32,0,0,188,772,164,83,77,22,49,,10,204,9.79275,2.33161,4.2,1.03627,0.264336,0.0629371,0.201398603618145,0.229955,1.13414,0.292035,0.710059,,,3.50835,4.01317,3.69677,34.66999816894531,,,,"17085"
"Zach Eflin","TBR",14,8,,3.37423,31,31,0,0,172,701,160,69,65,19,28,,5,168,8.77301,1.47239,5.95833,0.981595,0.239933,0.0402685,0.19966444000601768,0.239437,1.09066,0.293399,0.734012,,,3.29594,3.94991,3.8822,82.87999725341797,,,,"13774"
