Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Jameson Taillon","CHC",9,10,,4.50778,29,29,0,0,161,683,163,86,81,26,44,,6,139,7.76243,2.43363,3.18965,1.43115,0.203403,0.0637698,0.13963371515274048,0.256772,1.28015,0.292251,0.703383,,,4.52075,1.8799,1.83591,313.19000244140625,,,,"11674"
"Trevor Rogers","MIA",7,8,,4.06633,24,24,0,0,124,532,119,61,56,15,43,,6,125,9.04554,3.10564,2.91262,1.1073,0.235132,0.0807287,0.15440290421247482,0.245994,1.29994,0.302092,0.719385,,,4.02269,1.8693,1.99056,350.8299865722656,,,,"22286"
"Dane Dunning","TEX",9,10,,4.46491,29,29,0,0,167,729,172,90,83,23,58,,10,143,7.72138,3.14255,2.45704,1.23423,0.196372,0.0799221,0.11644956469535828,0.260635,1.38177,0.301829,0.709928,,,4.54314,1.85041,1.87058,371.4800109863281,,,,"19409"
"Yusei Kikuchi","TOR",9,9,,4.19679,29,29,0,0,153,657,145,77,71,24,58,,6,157,9.21531,3.3836,2.72353,1.38042,0.239015,0.0877596,0.15125588327646255,0.24512,1.32442,0.295341,0.740996,,,4.44467,1.84652,1.9393,243.6699981689453,,,,"20633"
"Taijuan Walker","PHI",9,11,,4.71502,31,31,0,0,172,745,176,97,90,25,63,,7,134,7.02156,3.28701,2.13615,1.31547,0.180018,0.0842721,0.0957460030913353,0.261051,1.3903,0.292933,0.697426,,,4.81623,1.83647,1.64861,431.6400146484375,,,,"11836"
"Seth Lugo","KCR",8,9,,4.38129,28,28,0,0,152,655,158,80,74,21,47,,5,129,7.63928,2.79541,2.7328,1.24691,0.197441,0.0722486,0.12519212812185287,0.263039,1.35134,0.303846,0.712246,,,4.38584,1.83246,2.14662,264.3800048828125,,,,"12447"
"Nick Lodolo","CIN",6,6,,4.17632,32,19,0,1,112,481,101,56,52,16,39,,13,133,10.6537,3.11216,3.42326,1.28737,0.275885,0.0805914,0.19529395550489426,0.233808,1.2417,0.300543,0.713537,,,4.12382,1.81779,1.87063,246.80999755859375,,,,"26378"
"Jhoan Duran","MIN",5,3,,2.71358,66,0,28,2,66,270,51,22,20,5,22,,4,89,12.1588,3.02333,4.02166,0.723907,0.330282,0.0821259,0.24815631657838821,0.206878,1.10155,0.301922,0.776055,,,2.76736,1.81726,2.04932,51.16999816894531,,,,"21029"
"Pete Fairbanks","TBR",5,3,,2.99415,66,0,30,3,66,273,48,24,22,6,26,,3,92,12.5794,3.52417,3.56945,0.7885,0.338291,0.0947739,0.24351726472377777,0.197953,1.12362,0.291236,0.764331,,,2.89932,1.81253,1.61105,90.79000091552734,,,,"17998"
"Hyun Jin Ryu",,9,8,,4.36706,26,26,0,0,136,581,146,71,66,20,34,,3,102,6.76535,2.26699,2.98429,1.30157,0.176385,0.0591047,0.11728063225746155,0.268643,1.3232,0.299751,0.714346,,,4.45327,1.80753,1.6951,484.8800048828125,,,,"14444"
"DL Hall","MIL",6,6,,3.79614,42,18,0,1,110,474,91,51,47,14,52,,5,136,11.0702,4.21579,2.6259,1.1169,0.286707,0.109184,0.1775229573249817,0.219582,1.29725,0.291157,0.746697,,,3.95511,1.79313,1.64252,419.8299865722656,,,,"22207"
"Dean Kremer","BAL",10,9,,4.17162,31,31,0,0,171,728,167,85,79,23,54,,7,147,7.74643,2.84201,2.72568,1.2037,0.201761,0.0740221,0.12773878127336502,0.250878,1.29686,0.290569,0.720254,,,4.33854,1.79235,2.20138,336.7900085449219,,,,"19350"
"Cristopher Sánchez","PHI",7,7,,4.21327,31,23,0,1,134,572,133,69,63,17,44,,6,115,7.7276,2.93662,2.63146,1.15944,0.201701,0.0766498,0.1250510811805725,0.254261,1.31348,0.296484,0.708968,,,4.33547,1.78648,1.90562,240.8300018310547,,,,"20778"
"Martín Pérez","PIT",8,10,,4.4691,26,26,0,0,153,675,165,82,76,17,56,,6,111,6.54291,3.2647,2.00414,1.02693,0.164979,0.082319,0.08265955001115799,0.268894,1.43918,0.304333,0.705143,,,4.49454,1.74336,1.87575,604.02001953125,,,,"6902"
"Steven Matz","STL",7,7,,3.95105,31,19,0,1,115,489,112,55,50,15,35,,4,110,8.626,2.71469,3.17753,1.15015,0.225124,0.0708488,0.15427536517381668,0.248982,1.27693,0.299376,0.729132,,,4.02025,1.73256,1.75153,351.1700134277344,,,,"13361"
"JP Sears","OAK",8,11,,4.21329,29,29,0,0,164,697,157,82,77,24,52,,10,151,8.29589,2.85165,2.90915,1.33979,0.217067,0.0746154,0.14245203137397766,0.247037,1.27329,0.288316,0.724874,,,4.47121,1.71705,1.99342,384.1199951171875,,,,"23429"
"Kenta Maeda","DET",7,9,,4.30047,34,24,0,1,133,561,127,68,64,19,40,,5,130,8.78353,2.72718,3.22074,1.29442,0.231072,0.0717451,0.15932734310626984,0.245748,1.25795,0.293238,0.70505,,,4.18609,1.71271,1.58912,245.97999572753906,,,,"18498"
"José Alvarado","PHI",4,3,,3.30332,74,0,22,6,74,310,58,30,27,8,33,,2,99,11.9832,4.04196,2.96471,0.926279,0.317391,0.107057,0.21033475548028946,0.211022,1.23246,0.298725,0.760776,,,3.37866,1.67248,1.72369,179.8300018310547,,,,"17780"
"José Quintana","NYM",9,9,,4.40543,29,29,0,0,158,695,165,84,77,20,59,,4,135,7.6682,3.33246,2.30106,1.13564,0.193913,0.084271,0.10964202135801315,0.261668,1.41616,0.30466,0.715708,,,4.38191,1.66235,1.37578,412.3599853515625,,,,"11423"
"Max Scherzer","TEX",6,5,,3.94848,16,16,0,0,93,384,83,44,41,15,25,,4,103,9.97492,2.38534,4.18176,1.46866,0.267427,0.0639507,0.20347607135772705,0.23441,1.16307,0.287103,0.740029,,,4.09993,1.6578,1.65606,317.54998779296875,,,,"3137"
"Cristian Javier","HOU",10,8,,4.36176,29,29,0,0,163,689,143,84,79,26,65,,8,170,9.38266,3.59087,2.61292,1.45881,0.246184,0.0942179,0.15196628123521805,0.231063,1.27435,0.276054,0.723816,,,4.61597,1.65753,1.99262,177.19000244140625,,,,"17606"
"Bryce Miller","SEA",8,8,,4.09777,26,26,0,0,139,581,133,68,63,20,35,,7,123,7.99957,2.3048,3.47082,1.2849,0.211723,0.0610008,0.15072212368249893,0.246329,1.21512,0.285239,0.714318,,,4.24783,1.6345,1.75112,179.74000549316406,,,,"29837"
"Kyle Hendricks","CHC",8,10,,4.59064,28,28,0,0,152,655,165,84,78,24,38,,7,112,6.6313,2.22927,2.97465,1.39471,0.171379,0.0576131,0.11376553028821945,0.269924,1.3293,0.297448,0.702076,,,4.67277,1.59876,1.45801,433.760009765625,,,,"12049"
"Clarke Schmidt","NYY",8,8,,4.39442,26,26,0,0,135,580,132,71,66,20,44,,8,125,8.34558,2.94787,2.83105,1.32765,0.215311,0.0760534,0.13925788551568985,0.24975,1.30726,0.292206,0.709659,,,4.46989,1.59497,1.32164,354.07000732421875,,,,"19899"
"Luis Severino","NYM",7,9,,4.52887,26,26,0,0,137,590,134,74,69,20,46,,6,128,8.43616,2.99447,2.81725,1.30581,0.217661,0.07726,0.1404004991054535,0.249056,1.31105,0.292805,0.692292,,,4.40143,1.59272,1.07901,307.1199951171875,,,,"15890"
"James Paxton","LAD",8,8,,4.44126,35,21,0,1,123,530,121,65,60,19,46,,3,129,9.50584,3.38461,2.80855,1.41699,0.244054,0.0868969,0.1571572870016098,0.251057,1.36107,0.305399,0.72625,,,4.4024,1.58183,1.15897,331.57000732421875,,,,"11828"
"Reese Olson","DET",7,8,,4.28195,24,24,0,0,127,549,121,66,61,16,50,,5,122,8.58369,3.54541,2.42107,1.12657,0.221517,0.0914957,0.1300216019153595,0.244703,1.34147,0.294408,0.709305,,,4.2748,1.57606,1.53643,274.30999755859375,,,,"24968"
"Kyle Harrison","SFG",6,7,,4.17903,28,28,0,0,137,595,119,68,63,18,65,,10,156,10.2961,4.2568,2.41875,1.16058,0.262879,0.108684,0.15419480949640274,0.228433,1.3429,0.292266,0.725377,,,4.27433,1.56612,1.74115,271.6400146484375,,,,"27758"
"Tyler Anderson","LAA",8,10,,4.78894,29,29,0,0,166,717,171,95,88,28,55,,7,139,7.53553,2.97145,2.53598,1.49704,0.193691,0.0763772,0.1173139438033104,0.261142,1.36225,0.293615,0.699682,,,4.85449,1.56152,1.43935,593.8300170898438,,,,"12880"
"Nick Martinez","CIN",6,6,,4.34589,46,16,0,1,122,532,122,64,59,17,46,,4,120,8.8096,3.37624,2.60929,1.25664,0.225195,0.086305,0.13888995349407196,0.253429,1.37268,0.304473,0.721947,,,4.34392,1.55745,1.51424,438.07000732421875,,,,"12730"
"Edward Cabrera","MIA",8,9,,4.26504,26,26,0,0,132,572,116,68,63,16,65,,7,141,9.59445,4.39172,2.18467,1.1184,0.246833,0.112984,0.13384898006916046,0.233007,1.36743,0.292247,0.717887,,,4.37186,1.54678,1.80996,298.739990234375,,,,"21690"
"Logan Allen","CLE",8,8,,4.1159,26,26,0,0,137,584,130,68,63,19,49,,4,128,8.41992,3.23634,2.60168,1.23049,0.218955,0.0841591,0.13479561358690262,0.245626,1.31281,0.290724,0.729626,,,4.33743,1.54208,1.77658,338.5,,,,"27589"
"Alex Cobb","SFG",5,5,,3.76771,16,16,0,0,87,375,90,40,36,8,26,,3,78,8.04448,2.72019,2.95733,0.788561,0.207628,0.0702078,0.13741978257894516,0.259832,1.33358,0.315858,0.722905,,,3.61364,1.54068,1.45215,443.0199890136719,,,,"6562"
"Michael Wacha","KCR",8,10,,4.57264,28,28,0,0,151,646,156,82,77,23,46,,5,124,7.39575,2.75611,2.6834,1.39207,0.191822,0.0714846,0.12033721804618835,0.2627,1.34288,0.29699,0.706601,,,4.6357,1.52445,1.87952,290.5,,,,"14078"
"Tanner Houck","BOS",8,8,,4.42928,37,23,0,1,129,559,127,68,63,16,47,,9,126,8.81517,3.32044,2.65482,1.11883,0.225749,0.0850337,0.14071564376354218,0.252725,1.35439,0.308042,0.697214,,,4.2305,1.51024,1.66972,412.9800109863281,,,,"19879"
"Jack Flaherty","DET",8,10,,4.46879,28,28,0,0,153,667,145,82,76,20,64,,10,148,8.7601,3.76887,2.32433,1.16755,0.222768,0.0958416,0.12692607194185257,0.245382,1.3723,0.29603,0.703327,,,4.445,1.49237,1.60282,372.2099914550781,,,,"17479"
"Andrés Muñoz","SEA",6,3,,2.89128,64,0,25,5,64,263,46,23,21,6,23,,4,91,12.7758,3.29739,3.87453,0.849966,0.34499,0.0890404,0.2559492513537407,0.19663,1.09025,0.290407,0.767681,,,2.9437,1.49212,1.59076,89.30999755859375,,,,"20373"
"Bryan Woo","SEA",7,8,,4.06719,35,23,0,1,126,532,113,61,57,17,40,,9,129,9.16218,2.84036,3.22571,1.2368,0.24173,0.0749388,0.16679174453020096,0.233706,1.20868,0.283448,0.711539,,,4.17547,1.48807,1.40567,182.47999572753906,,,,"30279"
"David Bednar","PIT",4,3,,3.3931,68,0,31,3,68,281,57,28,26,8,22,,2,80,10.6344,2.97258,3.57751,1.02339,0.285803,0.0798887,0.20591386407613754,0.221664,1.16566,0.291777,0.752351,,,3.46707,1.48758,1.50402,61.189998626708984,,,,"19569"
"Mike Clevinger",,8,10,,4.68817,26,26,0,0,139,597,139,77,72,22,45,,8,121,7.84759,2.93386,2.67484,1.45135,0.20249,0.0757019,0.12678848206996918,0.255324,1.32783,0.290798,0.698242,,,4.75455,1.46567,1.29717,403.45001220703125,,,,"12808"
"Shane Baz","TBR",6,5,,3.90049,19,19,0,0,96,405,86,45,42,12,31,,5,104,9.74951,2.93866,3.31767,1.16689,104.277,31.4308,72.84622383117676,0.232412,1.21683,0.29057,0.724703,,,3.91789,1.43778,1.42632,191.1199951171875,,,,"22264"
"Taj Bradley","TBR",9,8,,4.11165,54,21,0,1,139,588,127,68,64,20,47,,5,143,9.25673,3.05155,3.03345,1.31184,0.243616,0.0803098,0.16330576688051224,0.236803,1.25061,0.286264,0.725349,,,4.21043,1.43739,1.34792,254.13999938964844,,,,"22543"
"Andrew Heaney","TEX",8,8,,4.49644,34,26,0,1,140,603,134,75,70,23,50,,9,145,9.27843,3.20636,2.89376,1.48442,0.23957,0.0827887,0.15678155422210693,0.245931,1.31193,0.293948,0.716923,,,4.58943,1.41962,1.49861,362.0199890136719,,,,"15423"
"Josiah Gray","WSN",9,12,,4.85933,31,31,0,0,173,755,166,100,93,30,77,,8,162,8.45889,4.02826,2.09989,1.54965,0.215079,0.102424,0.1126546785235405,0.248056,1.40851,0.285594,0.711225,,,5.102,1.39618,1.45863,390.19000244140625,,,,"24580"
"Clayton Kershaw",,6,4,,3.63373,13,13,0,0,71,295,66,31,29,10,18,,2,72,9.09786,2.31647,3.92746,1.25482,0.244624,0.0622855,0.18233853578567505,0.240308,1.18253,0.291059,0.752718,,,3.89338,1.38754,1.45581,479.239990234375,,,,"2036"
"Keaton Winn","SFG",7,8,,4.21589,35,23,0,1,135,581,135,69,63,16,44,,8,119,7.917,2.90368,2.72654,1.0834,0.204453,0.0749864,0.12946680933237076,0.254954,1.32166,0.30107,0.704381,,,4.21282,1.38331,1.38224,422.3999938964844,,,,"23499"
"Louie Varland","MIN",7,7,,4.19476,40,19,0,1,130,553,128,65,61,18,39,,5,123,8.47794,2.6683,3.17728,1.23262,0.221586,0.0697409,0.15184545516967773,0.250552,1.27762,0.297565,0.713593,,,4.15712,1.36415,1.38906,309.3599853515625,,,,"27691"
"Colin Rea","MIL",6,7,,4.53021,35,21,0,1,127,540,128,69,64,20,36,,4,111,7.85587,2.55935,3.06948,1.43568,0.205236,0.0668636,0.13837292045354843,0.256911,1.29535,0.29333,0.701111,,,4.53676,1.36062,1.22786,523.760009765625,,,,"12317"
"Emmanuel Clase","CLE",5,3,,3.01081,66,0,33,2,66,267,57,24,22,6,18,,2,69,9.35187,2.415,3.8724,0.758,0.256406,0.0662137,0.190192349255085,0.23022,1.1341,0.296344,0.754407,,,3.14755,1.3605,1.68996,51.900001525878906,,,,"21032"
"Domingo Germán",,6,6,,4.31628,18,18,0,0,100,417,93,52,48,15,29,,4,96,8.69526,2.63029,3.30582,1.3936,0.230611,0.069759,0.1608518809080124,0.243031,1.22896,0.286052,0.702689,,,4.34143,1.35716,1.26785,564.1699829101562,,,,"17149"
"Gavin Williams","CLE",7,8,,4.16921,26,26,0,0,135,573,121,67,62,19,54,,7,136,9.09959,3.59049,2.53436,1.23778,0.237614,0.0937571,0.14385711401700974,0.235794,1.29653,0.285943,0.722073,,,4.36607,1.34681,1.75039,161.8800048828125,,,,"30122"
"Tanner Scott","MIA",5,4,,3.20493,66,0,28,4,66,277,51,26,24,6,29,,4,89,12.1593,3.92158,3.1006,0.840264,0.321683,0.103748,0.21793456375598907,0.209052,1.20946,0.301483,0.761151,,,3.26299,1.34369,1.58917,96.06999969482422,,,,"17586"
"Ryan Feltner","COL",6,8,,5.27712,23,23,0,0,115,510,122,72,68,19,48,,4,101,7.89728,3.76821,2.09577,1.45096,0.198248,0.0945944,0.10365339368581772,0.266991,1.47846,0.306608,0.680152,,,4.96643,1.34095,1.32568,747.52001953125,,,,"21446"
"Devin Williams","MIL",6,4,,3.05031,66,0,29,1,66,272,47,25,22,7,30,,2,93,12.6533,4.1345,3.06042,0.976632,0.341158,0.111474,0.22968385368585587,0.195894,1.16931,0.285084,0.782748,,,3.34493,1.33031,1.71281,40.790000915527344,,,,"15816"
"Michael Lorenzen",,9,10,,4.71221,28,28,0,0,155,665,157,87,81,23,55,,5,125,7.27556,3.19304,2.27857,1.31806,0.188469,0.0827137,0.10575509816408157,0.259651,1.36831,0.294065,0.691963,,,4.69962,1.30512,1.33691,518.1900024414062,,,,"14843"
"Austin Gomber","COL",7,12,,5.48872,28,28,0,0,151,665,174,99,92,27,49,,5,108,6.39443,2.92074,2.18932,1.59841,0.16176,0.0738859,0.0878741666674614,0.283747,1.47013,0.307369,0.667711,,,5.20742,1.30307,1.35556,748.52001953125,,,,"16561"
"Ross Stripling","OAK",6,8,,4.42722,34,24,0,1,142,607,148,75,70,22,38,,4,119,7.52977,2.38566,3.15627,1.36498,0.196352,0.0622102,0.13414186239242554,0.261906,1.30427,0.297877,0.710777,,,4.43265,1.29362,1.19377,539.9299926757812,,,,"13273"
"Chase Silseth","LAA",6,7,,4.34228,29,21,0,1,116,497,109,60,56,16,48,,5,113,8.7949,3.73866,2.35242,1.24609,0.227128,0.0965509,0.1305774301290512,0.246115,1.36163,0.295997,0.718558,,,4.47405,1.29001,1.52435,333.4800109863281,,,,"30074"
