Market Name,Outcome,Bet Price
Los Angeles Dodgers - Yoshinobu Yamamoto Total Wins,Over 13.5,-115
Los Angeles Dodgers - Yoshinobu Yamamoto Total Wins,Under 13.5,-115
Miami Marlins - Jesús Luzardo ERA,Over 3.55,-125
Miami Marlins - Jesús Luzardo ERA,Under 3.55,-105
Miami Marlins - Jesús Luzardo Total Strikeouts,Over 188.5,-115
Miami Marlins - Jesús Luzardo Total Strikeouts,Under 188.5,-115
Miami Marlins - Jesús Luzardo Total Wins,Over 10.5,-115
Miami Marlins - Jesús Luzardo Total Wins,Under 10.5,-115
Milwaukee Brewers - Freddy Peralta ERA,Over 3.60,-115
Milwaukee Brewers - Freddy Peralta ERA,Under 3.60,-115
Milwaukee Brewers - Freddy Peralta Total Strikeouts,Over 190.5,-115
Milwaukee Brewers - Freddy Peralta Total Strikeouts,Under 190.5,-115
Milwaukee Brewers - Freddy Peralta Total Wins,Over 9.5,-125
Milwaukee Brewers - Freddy Peralta Total Wins,Under 9.5,-105
Minnesota Twins - Joe Ryan ERA,Over 3.85,-115
Minnesota Twins - Joe Ryan ERA,Under 3.85,-115
Minnesota Twins - Joe Ryan Total Strikeouts,Over 175.5,-115
Minnesota Twins - Joe Ryan Total Strikeouts,Under 175.5,-115
Minnesota Twins - Joe Ryan Total Wins,Over 10.5,-115
Minnesota Twins - Joe Ryan Total Wins,Under 10.5,-115
Minnesota Twins - Pablo López ERA,Over 3.35,-115
Minnesota Twins - Pablo López ERA,Under 3.35,-115
Minnesota Twins - Pablo López Total Strikeouts,Over 203.5,-115
Minnesota Twins - Pablo López Total Strikeouts,Under 203.5,-115
Minnesota Twins - Pablo López Total Wins,Over 11.5,-105
Minnesota Twins - Pablo López Total Wins,Under 11.5,-125
New York Mets - Kodai Senga ERA,Over 3.30,-125
New York Mets - Kodai Senga ERA,Under 3.30,-105
New York Mets - Kodai Senga Total Strikeouts,Over 205.5,-105
New York Mets - Kodai Senga Total Strikeouts,Under 205.5,-125
New York Mets - Kodai Senga Total Wins,Over 11.5,-115
New York Mets - Kodai Senga Total Wins,Under 11.5,-115
New York Yankees - Gerrit Cole ERA,Over 3.15,-125
New York Yankees - Gerrit Cole ERA,Under 3.15,-105
New York Yankees - Gerrit Cole Total Strikeouts,Over 220.5,-115
New York Yankees - Gerrit Cole Total Strikeouts,Under 220.5,-115
New York Yankees - Gerrit Cole Total Wins,Over 14.5,-115
New York Yankees - Gerrit Cole Total Wins,Under 14.5,-115
Philadelphia Phillies - Aaron Nola ERA,Over 3.55,-115
Philadelphia Phillies - Aaron Nola ERA,Under 3.55,-115
Philadelphia Phillies - Aaron Nola Total Strikeouts,Over 195.5,-110
Philadelphia Phillies - Aaron Nola Total Strikeouts,Under 195.5,-120
Philadelphia Phillies - Aaron Nola Total Wins,Over 12.5,-115
Philadelphia Phillies - Aaron Nola Total Wins,Under 12.5,-115
Philadelphia Phillies - Zack Wheeler ERA,Over 3.35,-115
Philadelphia Phillies - Zack Wheeler ERA,Under 3.35,-115
Philadelphia Phillies - Zack Wheeler Total Strikeouts,Over 193.5,-105
Philadelphia Phillies - Zack Wheeler Total Strikeouts,Under 193.5,-125
Philadelphia Phillies - Zack Wheeler Total Wins,Over 13.5,-115
Philadelphia Phillies - Zack Wheeler Total Wins,Under 13.5,-115
Pittsburgh Pirates - Mitch Keller Total Strikeouts,Over 175.5,-115
Pittsburgh Pirates - Mitch Keller Total Strikeouts,Under 175.5,-115
San Francisco Giants - Logan Webb ERA,Over 3.25,-115
San Francisco Giants - Logan Webb ERA,Under 3.25,-115
San Francisco Giants - Logan Webb Total Strikeouts,Over 175.5,-115
San Francisco Giants - Logan Webb Total Strikeouts,Under 175.5,-115
San Francisco Giants - Logan Webb Total Wins,Over 12.5,-115
San Francisco Giants - Logan Webb Total Wins,Under 12.5,-115
Seattle Mariners - George Kirby ERA,Over 3.40,-115
Seattle Mariners - George Kirby ERA,Under 3.40,-115
Seattle Mariners - George Kirby Total Strikeouts,Over 170.5,-115
Seattle Mariners - George Kirby Total Strikeouts,Under 170.5,-115
Seattle Mariners - George Kirby Total Wins,Over 12.5,-115
Seattle Mariners - George Kirby Total Wins,Under 12.5,-115
Seattle Mariners - Logan Gilbert ERA,Over 3.65,-115
