Market Name,Outcome,Bet Price
Houston Astros - Kyle Tucker Total RBIs,Over 104.5,-115
Houston Astros - Kyle Tucker Total RBIs,Under 104.5,-115
Houston Astros - Kyle Tucker Total Runs Scored,Over 95.5,-115
Houston Astros - Kyle Tucker Total Runs Scored,Under 95.5,-115
Houston Astros - Kyle Tucker Total Stolen Bases,Over 25.5,-115
Houston Astros - Kyle Tucker Total Stolen Bases,Under 25.5,-115
Houston Astros - Yordan Alvarez Total Hits,Over 150.5,-115
Houston Astros - Yordan Alvarez Total Hits,Under 150.5,-115
Houston Astros - Yordan Alvarez Total Home Runs,Over 38.5,-105
Houston Astros - Yordan Alvarez Total Home Runs,Under 38.5,-125
Houston Astros - Yordan Alvarez Total RBIs,Over 105.5,-115
Houston Astros - Yordan Alvarez Total RBIs,Under 105.5,-115
Houston Astros - Yordan Alvarez Total Runs Scored,Over 95.5,-115
Houston Astros - Yordan Alvarez Total Runs Scored,Under 95.5,-115
Kansas City Royals - Bobby Witt Jr. Total Hits,Over 171.5,-115
Kansas City Royals - Bobby Witt Jr. Total Hits,Under 171.5,-115
Kansas City Royals - Bobby Witt Jr. Total RBIs,Over 94.5,-115
Kansas City Royals - Bobby Witt Jr. Total RBIs,Under 94.5,-115
Kansas City Royals - Bobby Witt Jr. Total Runs Scored,Over 97.5,-115
Kansas City Royals - Bobby Witt Jr. Total Runs Scored,Under 97.5,-115
Kansas City Royals - Bobby Witt Jr. Total Stolen Bases,Over 40.5,-115
Kansas City Royals - Bobby Witt Jr. Total Stolen Bases,Under 40.5,-115
Kansas City Royals - Bobby Witt Jr. Total Home Runs,Over 28.5,-110
Kansas City Royals - Bobby Witt Jr. Total Home Runs,Under 28.5,-120
Kansas City Royals - MJ Melendez Total Hits,Over 123.5,-115
Kansas City Royals - MJ Melendez Total Hits,Under 123.5,-115
Kansas City Royals - MJ Melendez Total Home Runs,Over 22.5,-115
Kansas City Royals - MJ Melendez Total Home Runs,Under 22.5,-115
Kansas City Royals - Salvador Perez Total Home Runs,Over 23.5,-115
Kansas City Royals - Salvador Perez Total Home Runs,Under 23.5,-115
Los Angeles Angels - Mike Trout Total Home Runs,Over 30.5,-115
Los Angeles Angels - Mike Trout Total Home Runs,Under 30.5,-115
Los Angeles Angels - Mike Trout Total RBIs,Over 72.5,-115
Los Angeles Angels - Mike Trout Total RBIs,Under 72.5,-115
Los Angeles Dodgers - Freddie Freeman Total Hits,Over 177.5,-115
Los Angeles Dodgers - Freddie Freeman Total Hits,Under 177.5,-115
Los Angeles Dodgers - Freddie Freeman Total Home Runs,Over 25.5,-115
Los Angeles Dodgers - Freddie Freeman Total Home Runs,Under 25.5,-115
Los Angeles Dodgers - Freddie Freeman Total RBIs,Over 99.5,-115
Los Angeles Dodgers - Freddie Freeman Total RBIs,Under 99.5,-115
Los Angeles Dodgers - Max Muncy Total Home Runs,Over 27.5,-115
Los Angeles Dodgers - Max Muncy Total Home Runs,Under 27.5,-115
Los Angeles Dodgers - Mookie Betts Total Hits,Over 163.5,-115
Los Angeles Dodgers - Mookie Betts Total Hits,Under 163.5,-115
Los Angeles Dodgers - Mookie Betts Total Home Runs,Over 32.5,-115
Los Angeles Dodgers - Mookie Betts Total Home Runs,Under 32.5,-115
Los Angeles Dodgers - Mookie Betts Total RBIs,Over 92.5,-115
Los Angeles Dodgers - Mookie Betts Total RBIs,Under 92.5,-115
Los Angeles Dodgers - Mookie Betts Total Runs Scored,Over 112.5,-115
Los Angeles Dodgers - Mookie Betts Total Runs Scored,Under 112.5,-115
Los Angeles Dodgers - Mookie Betts Total Stolen Bases,Over 14.5,-115
Los Angeles Dodgers - Mookie Betts Total Stolen Bases,Under 14.5,-115
Los Angeles Dodgers - Shohei Ohtani Total Hits,Over 149.5,-115
Los Angeles Dodgers - Shohei Ohtani Total Hits,Under 149.5,-115
Los Angeles Dodgers - Shohei Ohtani Total Home Runs,Over 38.5,-115
Los Angeles Dodgers - Shohei Ohtani Total Home Runs,Under 38.5,-115
Los Angeles Dodgers - Shohei Ohtani Total RBIs,Over 105.5,-115
Los Angeles Dodgers - Shohei Ohtani Total RBIs,Under 105.5,-115
Los Angeles Dodgers - Shohei Ohtani Total Runs Scored,Over 100.5,-115
Los Angeles Dodgers - Shohei Ohtani Total Runs Scored,Under 100.5,-115
Los Angeles Dodgers - Teoscar Hernandez Total Hits,Over 147.5,-115
Los Angeles Dodgers - Teoscar Hernandez Total Hits,Under 147.5,-115
Los Angeles Dodgers - Teoscar Hernandez Total Home Runs,Over 27.5,-115
Los Angeles Dodgers - Teoscar Hernandez Total Home Runs,Under 27.5,-115
Los Angeles Dodgers - Will Smith Total Hits,Over 119.5,-110
Los Angeles Dodgers - Will Smith Total Hits,Under 119.5,-120
Los Angeles Dodgers - Will Smith Total Home Runs,Over 20.5,-115
Los Angeles Dodgers - Will Smith Total Home Runs,Under 20.5,-115
Miami Marlins - Jake Burger Total Hits,Over 129.5,-115
Miami Marlins - Jake Burger Total Hits,Under 129.5,-115
Miami Marlins - Jake Burger Total Home Runs,Over 26.5,-115
Miami Marlins - Jake Burger Total Home Runs,Under 26.5,-115
Miami Marlins - Jazz Chisholm Jr. Total Home Runs,Over 24.5,-115
Miami Marlins - Jazz Chisholm Jr. Total Home Runs,Under 24.5,-115
Miami Marlins - Jazz Chisholm Jr. Total RBIs,Over 74.5,-115
Miami Marlins - Jazz Chisholm Jr. Total RBIs,Under 74.5,-115
Miami Marlins - Jazz Chisholm Jr. Total Runs Scored,Over 70.5,-115
Miami Marlins - Jazz Chisholm Jr. Total Runs Scored,Under 70.5,-115
Miami Marlins - Jazz Chisholm Jr. Total Stolen Bases,Over 26.5,-115
Miami Marlins - Jazz Chisholm Jr. Total Stolen Bases,Under 26.5,-115
Miami Marlins - Luis Arraez Total Hits,Over 180.5,-115
Miami Marlins - Luis Arraez Total Hits,Under 180.5,-115
Miami Marlins - Luis Arraez Total Runs Scored,Over 81.5,-115
Miami Marlins - Luis Arraez Total Runs Scored,Under 81.5,-115
Milwaukee Brewers - Christian Yelich Total Hits,Over 145.5,-115
Milwaukee Brewers - Christian Yelich Total Hits,Under 145.5,-115
Milwaukee Brewers - Christian Yelich Total Home Runs,Over 20.5,-105
Milwaukee Brewers - Christian Yelich Total Home Runs,Under 20.5,-125
Milwaukee Brewers - Christian Yelich Total RBIs,Over 68.5,-115
Milwaukee Brewers - Christian Yelich Total RBIs,Under 68.5,-115
Milwaukee Brewers - Christian Yelich Total Runs Scored,Over 90.5,-115
Milwaukee Brewers - Christian Yelich Total Runs Scored,Under 90.5,-115
Milwaukee Brewers - Christian Yelich Total Stolen Bases,Over 23.5,-115
Milwaukee Brewers - Christian Yelich Total Stolen Bases,Under 23.5,-115
Milwaukee Brewers - Willy Adames Total Hits,Over 135.5,-115
Milwaukee Brewers - Willy Adames Total Hits,Under 135.5,-115
Milwaukee Brewers - Willy Adames Total Home Runs,Over 25.5,-115
Milwaukee Brewers - Willy Adames Total Home Runs,Under 25.5,-115
Milwaukee Brewers - Willy Adames Total RBIs,Over 81.5,-115
Milwaukee Brewers - Willy Adames Total RBIs,Under 81.5,-115
Minnesota Twins - Byron Buxton Total Home Runs,Over 25.5,-115
Minnesota Twins - Byron Buxton Total Home Runs,Under 25.5,-115
Minnesota Twins - Byron Buxton Total RBIs,Over 66.5,-115
Minnesota Twins - Byron Buxton Total RBIs,Under 66.5,-115
Minnesota Twins - Max Kepler Total Home Runs,Over 20.5,-115
Minnesota Twins - Max Kepler Total Home Runs,Under 20.5,-115
Minnesota Twins - Royce Lewis Total Home Runs,Over 26.5,-115
Minnesota Twins - Royce Lewis Total Home Runs,Under 26.5,-115
Minnesota Twins - Royce Lewis Total RBIs,Over 80.5,-115
Minnesota Twins - Royce Lewis Total RBIs,Under 80.5,-115
New York Mets - Brandon Nimmo Total Hits,Over 149.5,-115
New York Mets - Brandon Nimmo Total Hits,Under 149.5,-115
New York Mets - Brandon Nimmo Total Runs Scored,Over 85.5,-115
New York Mets - Brandon Nimmo Total Runs Scored,Under 85.5,-115
New York Mets - Francisco Lindor Total Hits,Over 149.5,-115
New York Mets - Francisco Lindor Total Hits,Under 149.5,-115
New York Mets - Francisco Lindor Total Home Runs,Over 27.5,-115
New York Mets - Francisco Lindor Total Home Runs,Under 27.5,-115
New York Mets - Francisco Lindor Total RBIs,Over 90.5,-115
New York Mets - Francisco Lindor Total RBIs,Under 90.5,-115
New York Mets - Francisco Lindor Total Runs Scored,Over 90.5,-115
New York Mets - Francisco Lindor Total Runs Scored,Under 90.5,-115
New York Mets - Jeff McNeil Total Hits,Over 159.5,-115
New York Mets - Jeff McNeil Total Hits,Under 159.5,-115
New York Mets - Jeff McNeil Total Runs Scored,Over 70.5,-115
New York Mets - Jeff McNeil Total Runs Scored,Under 70.5,-115
New York Mets - Pete Alonso Total Hits,Over 140.5,-115
New York Mets - Pete Alonso Total Hits,Under 140.5,-115
New York Mets - Pete Alonso Total Home Runs,Over 41.5,-115
New York Mets - Pete Alonso Total Home Runs,Under 41.5,-115
New York Mets - Pete Alonso Total RBIs,Over 110.5,-115
New York Mets - Pete Alonso Total RBIs,Under 110.5,-115
New York Mets - Pete Alonso Total Runs Scored,Over 90.5,-115
New York Mets - Pete Alonso Total Runs Scored,Under 90.5,-115
New York Yankees - Aaron Judge Total Hits,Over 148.5,-115
New York Yankees - Aaron Judge Total Hits,Under 148.5,-115
New York Yankees - Aaron Judge Total Home Runs,Over 44.5,-115
New York Yankees - Aaron Judge Total Home Runs,Under 44.5,-115
New York Yankees - Aaron Judge Total RBIs,Over 104.5,-115
New York Yankees - Aaron Judge Total RBIs,Under 104.5,-115
New York Yankees - Aaron Judge Total Runs Scored,Over 99.5,-115
New York Yankees - Aaron Judge Total Runs Scored,Under 99.5,-115
New York Yankees - Anthony Volpe Total Hits,Over 124.5,-115
New York Yankees - Anthony Volpe Total Hits,Under 124.5,-115
New York Yankees - Anthony Volpe Total Home Runs,Over 19.5,-115
New York Yankees - Anthony Volpe Total Home Runs,Under 19.5,-115
New York Yankees - Anthony Volpe Total Runs Scored,Over 70.5,-115
New York Yankees - Anthony Volpe Total Runs Scored,Under 70.5,-115
New York Yankees - Anthony Volpe Total Stolen Bases,Over 26.5,-115
New York Yankees - Anthony Volpe Total Stolen Bases,Under 26.5,-115
New York Yankees - Giancarlo Stanton Total Home Runs,Over 28.5,-115
New York Yankees - Giancarlo Stanton Total Home Runs,Under 28.5,-115
New York Yankees - Gleyber Torres Total Hits,Over 152.5,-115
New York Yankees - Gleyber Torres Total Hits,Under 152.5,-115
New York Yankees - Gleyber Torres Total Home Runs,Over 25.5,-115
New York Yankees - Gleyber Torres Total Home Runs,Under 25.5,-115
New York Yankees - Gleyber Torres Total RBIs,Over 81.5,-115
New York Yankees - Gleyber Torres Total RBIs,Under 81.5,-115
New York Yankees - Gleyber Torres Total Runs Scored,Over 80.5,-115
New York Yankees - Gleyber Torres Total Runs Scored,Under 80.5,-115
New York Yankees - Juan Soto Total Hits,Over 154.5,-115
New York Yankees - Juan Soto Total Hits,Under 154.5,-115
New York Yankees - Juan Soto Total Home Runs,Over 35.5,-115
New York Yankees - Juan Soto Total Home Runs,Under 35.5,-115
New York Yankees - Juan Soto Total RBIs,Over 102.5,-115
New York Yankees - Juan Soto Total RBIs,Under 102.5,-115
New York Yankees - Juan Soto Total Runs Scored,Over 105.5,-115
New York Yankees - Juan Soto Total Runs Scored,Under 105.5,-115
Oakland Athletics - Brent Rooker Total Home Runs,Over 26.5,-115
Oakland Athletics - Brent Rooker Total Home Runs,Under 26.5,-115
Oakland Athletics - Esteury Ruiz Total Stolen Bases,Over 53.5,-115
Oakland Athletics - Esteury Ruiz Total Stolen Bases,Under 53.5,-115
Philadelphia Phillies - Alec Bohm Total Hits,Over 150.5,-115
Philadelphia Phillies - Alec Bohm Total Hits,Under 150.5,-115
Philadelphia Phillies - Alec Bohm Total Runs Scored,Over 69.5,-115
Philadelphia Phillies - Alec Bohm Total Runs Scored,Under 69.5,-115
Philadelphia Phillies - Bryce Harper Total Hits,Over 155.5,-115
Philadelphia Phillies - Bryce Harper Total Hits,Under 155.5,-115
Philadelphia Phillies - Bryce Harper Total Home Runs,Over 30.5,-105
Philadelphia Phillies - Bryce Harper Total Home Runs,Under 30.5,-125
Philadelphia Phillies - Bryce Harper Total RBIs,Over 95.5,-115
Philadelphia Phillies - Bryce Harper Total RBIs,Under 95.5,-115
Philadelphia Phillies - Bryce Harper Total Runs Scored,Over 89.5,-115
Philadelphia Phillies - Bryce Harper Total Runs Scored,Under 89.5,-115
Philadelphia Phillies - Kyle Schwarber Total Home Runs,Over 39.5,-115
Philadelphia Phillies - Kyle Schwarber Total Home Runs,Under 39.5,-115
Philadelphia Phillies - Kyle Schwarber Total RBIs,Over 91.5,-115
Philadelphia Phillies - Kyle Schwarber Total RBIs,Under 91.5,-115
Philadelphia Phillies - Nick Castellanos Total Hits,Over 155.5,-115
Philadelphia Phillies - Nick Castellanos Total Hits,Under 155.5,-115
Philadelphia Phillies - Nick Castellanos Total Home Runs,Over 24.5,-115
Philadelphia Phillies - Nick Castellanos Total Home Runs,Under 24.5,-115
Philadelphia Phillies - Nick Castellanos Total RBIs,Over 88.5,-115
Philadelphia Phillies - Nick Castellanos Total RBIs,Under 88.5,-115
Philadelphia Phillies - Trea Turner Total Hits,Over 175.5,-115
Philadelphia Phillies - Trea Turner Total Hits,Under 175.5,-115
Philadelphia Phillies - Trea Turner Total Home Runs,Over 24.5,-115
Philadelphia Phillies - Trea Turner Total Home Runs,Under 24.5,-115
Philadelphia Phillies - Trea Turner Total RBIs,Over 83.5,-115
Philadelphia Phillies - Trea Turner Total RBIs,Under 83.5,-115
Philadelphia Phillies - Trea Turner Total Runs Scored,Over 97.5,-125
Philadelphia Phillies - Trea Turner Total Runs Scored,Under 97.5,-105
Philadelphia Phillies - Trea Turner Total Stolen Bases,Over 28.5,-110
Philadelphia Phillies - Trea Turner Total Stolen Bases,Under 28.5,-120
Pittsburgh Pirates - Bryan Reynolds Total Hits,Over 153.5,-115
Pittsburgh Pirates - Bryan Reynolds Total Hits,Under 153.5,-115
Pittsburgh Pirates - Bryan Reynolds Total Home Runs,Over 22.5,-115
Pittsburgh Pirates - Bryan Reynolds Total Home Runs,Under 22.5,-115
Pittsburgh Pirates - Bryan Reynolds Total RBIs,Over 84.5,-115
Pittsburgh Pirates - Bryan Reynolds Total RBIs,Under 84.5,-115
Pittsburgh Pirates - Bryan Reynolds Total Runs Scored,Over 85.5,-115
Pittsburgh Pirates - Bryan Reynolds Total Runs Scored,Under 85.5,-115
Pittsburgh Pirates - Jack Suwinski Total Home Runs,Over 25.5,-115
Pittsburgh Pirates - Jack Suwinski Total Home Runs,Under 25.5,-115
San Diego Padres - Fernando Tatis Jr. Total Hits,Over 157.5,-115
San Diego Padres - Fernando Tatis Jr. Total Hits,Under 157.5,-115
San Diego Padres - Fernando Tatis Jr. Total Runs Scored,Over 99.5,-115
San Diego Padres - Fernando Tatis Jr. Total Runs Scored,Under 99.5,-115
San Diego Padres - Fernando Tatis Jr. Total Home Runs,Over 34.5,-115
San Diego Padres - Fernando Tatis Jr. Total Home Runs,Under 34.5,-115
San Diego Padres - Fernando Tatis Jr. Total RBIs,Over 100.5,-115
San Diego Padres - Fernando Tatis Jr. Total RBIs,Under 100.5,-115
San Diego Padres - Fernando Tatis Jr. Total Stolen Bases,Over 26.5,-115
San Diego Padres - Fernando Tatis Jr. Total Stolen Bases,Under 26.5,-115
San Diego Padres - Manny Machado Total Hits,Over 152.5,-115
San Diego Padres - Manny Machado Total Hits,Under 152.5,-115
San Diego Padres - Manny Machado Total Home Runs,Over 30.5,-115
San Diego Padres - Manny Machado Total Home Runs,Under 30.5,-115
San Diego Padres - Manny Machado Total RBIs,Over 90.5,-115
San Diego Padres - Manny Machado Total RBIs,Under 90.5,-115
San Diego Padres - Manny Machado Total Runs Scored,Over 80.5,-115
San Diego Padres - Manny Machado Total Runs Scored,Under 80.5,-115
San Diego Padres - Xander Bogaerts Total Hits,Over 152.5,-115
San Diego Padres - Xander Bogaerts Total Hits,Under 152.5,-115
San Diego Padres - Xander Bogaerts Total Home Runs,Over 18.5,-115
San Diego Padres - Xander Bogaerts Total Home Runs,Under 18.5,-115
San Diego Padres - Xander Bogaerts Total Runs Scored,Over 80.5,-115
San Diego Padres - Xander Bogaerts Total Runs Scored,Under 80.5,-115
Seattle Mariners - Cal Raleigh Total Home Runs,Over 27.5,-115
Seattle Mariners - Cal Raleigh Total Home Runs,Under 27.5,-115
Seattle Mariners - Cal Raleigh Total RBIs,Over 79.5,-115
Seattle Mariners - Cal Raleigh Total RBIs,Under 79.5,-115
Seattle Mariners - Julio Rodriguez Total Hits,Over 172.5,-115
Seattle Mariners - Julio Rodriguez Total Hits,Under 172.5,-115
Seattle Mariners - Julio Rodriguez Total Home Runs,Over 32.5,-115
Seattle Mariners - Julio Rodriguez Total Home Runs,Under 32.5,-115
Seattle Mariners - Julio Rodriguez Total RBIs,Over 98.5,-115
Seattle Mariners - Julio Rodriguez Total RBIs,Under 98.5,-115
Seattle Mariners - Julio Rodriguez Total Runs Scored,Over 99.5,-115
Seattle Mariners - Julio Rodriguez Total Runs Scored,Under 99.5,-115
Seattle Mariners - Julio Rodriguez Total Stolen Bases,Over 33.5,-115
Seattle Mariners - Julio Rodriguez Total Stolen Bases,Under 33.5,-115
St Louis Cardinals - Nolan Arenado Total Hits,Over 150.5,-115
St Louis Cardinals - Nolan Arenado Total Hits,Under 150.5,-115
St Louis Cardinals - Nolan Arenado Total Home Runs,Over 27.5,-115
St Louis Cardinals - Nolan Arenado Total Home Runs,Under 27.5,-115
St Louis Cardinals - Nolan Arenado Total RBIs,Over 94.5,-115
St Louis Cardinals - Nolan Arenado Total RBIs,Under 94.5,-115
St Louis Cardinals - Nolan Arenado Total Runs Scored,Over 77.5,-115
St Louis Cardinals - Nolan Arenado Total Runs Scored,Under 77.5,-115
St Louis Cardinals - Nolan Gorman Total Home Runs,Over 27.5,-115
St Louis Cardinals - Nolan Gorman Total Home Runs,Under 27.5,-115
St Louis Cardinals - Paul Goldschmidt Total Hits,Over 150.5,-115
St Louis Cardinals - Paul Goldschmidt Total Hits,Under 150.5,-115
St Louis Cardinals - Paul Goldschmidt Total Home Runs,Over 26.5,-105
St Louis Cardinals - Paul Goldschmidt Total Home Runs,Under 26.5,-125
St Louis Cardinals - Paul Goldschmidt Total RBIs,Over 90.5,-115
St Louis Cardinals - Paul Goldschmidt Total RBIs,Under 90.5,-115
St Louis Cardinals - Paul Goldschmidt Total Runs Scored,Over 90.5,-115
St Louis Cardinals - Paul Goldschmidt Total Runs Scored,Under 90.5,-115
St Louis Cardinals - Tommy Edman Total Hits,Over 137.5,-115
St Louis Cardinals - Tommy Edman Total Hits,Under 137.5,-115
St Louis Cardinals - Tommy Edman Total Runs Scored,Over 70.5,-115
St Louis Cardinals - Tommy Edman Total Runs Scored,Under 70.5,-115
St Louis Cardinals - Tommy Edman Total Stolen Bases,Over 25.5,-115
St Louis Cardinals - Tommy Edman Total Stolen Bases,Under 25.5,-115
Tampa Bay Rays - Randy Arozarena Total Hits,Over 148.5,-115
Tampa Bay Rays - Randy Arozarena Total Hits,Under 148.5,-115
Tampa Bay Rays - Randy Arozarena Total Home Runs,Over 23.5,-115
Tampa Bay Rays - Randy Arozarena Total Home Runs,Under 23.5,-115
Tampa Bay Rays - Randy Arozarena Total RBIs,Over 83.5,-115
Tampa Bay Rays - Randy Arozarena Total RBIs,Under 83.5,-115
Tampa Bay Rays - Randy Arozarena Total Runs Scored,Over 85.5,-115
Tampa Bay Rays - Randy Arozarena Total Runs Scored,Under 85.5,-115
Tampa Bay Rays - Randy Arozarena Total Stolen Bases,Over 22.5,-115
Tampa Bay Rays - Randy Arozarena Total Stolen Bases,Under 22.5,-115
Tampa Bays Rays - Yandy Diaz Total Hits,Over 154.5,-115
Tampa Bays Rays - Yandy Diaz Total Hits,Under 154.5,-115
Tampa Bays Rays - Yandy Diaz Total Runs Scored,Over 83.5,-115
Tampa Bays Rays - Yandy Diaz Total Runs Scored,Under 83.5,-115
Texas Rangers - Adolis Garcia Total Home Runs,Over 31.5,-115
Texas Rangers - Adolis Garcia Total Home Runs,Under 31.5,-115
Texas Rangers - Adolis Garcia Total RBIs,Over 98.5,-115
Texas Rangers - Adolis Garcia Total RBIs,Under 98.5,-115
Texas Rangers - Corey Seager Total Hits,Over 158.5,-115
Texas Rangers - Corey Seager Total Hits,Under 158.5,-115
Texas Rangers - Corey Seager Total Home Runs,Over 29.5,-115
Texas Rangers - Corey Seager Total Home Runs,Under 29.5,-115
Texas Rangers - Corey Seager Total RBIs,Over 90.5,-115
Texas Rangers - Corey Seager Total RBIs,Under 90.5,-115
Texas Rangers - Corey Seager Total Runs Scored,Over 88.5,-115
Texas Rangers - Corey Seager Total Runs Scored,Under 88.5,-115
Texas Rangers - Josh Jung Total Hits,Over 137.5,-115
Texas Rangers - Josh Jung Total Hits,Under 137.5,-115
Texas Rangers - Josh Jung Total Home Runs,Over 24.5,-115
Texas Rangers - Josh Jung Total Home Runs,Under 24.5,-115
Texas Rangers - Marcus Semien Total Hits,Over 167.5,-115
Texas Rangers - Marcus Semien Total Hits,Under 167.5,-115
Texas Rangers - Marcus Semien Total Home Runs,Over 26.5,-115
Texas Rangers - Marcus Semien Total Home Runs,Under 26.5,-115
Texas Rangers - Marcus Semien Total RBIs,Over 86.5,-115
Texas Rangers - Marcus Semien Total RBIs,Under 86.5,-115
Texas Rangers - Marcus Semien Total Runs Scored,Over 100.5,-115
Texas Rangers - Marcus Semien Total Runs Scored,Under 100.5,-115
Toronto Blue Jays - Bo Bichette Total Hits,Over 179.5,-115
Toronto Blue Jays - Bo Bichette Total Hits,Under 179.5,-115
Toronto Blue Jays - Bo Bichette Total Home Runs,Over 24.5,-115
Toronto Blue Jays - Bo Bichette Total Home Runs,Under 24.5,-115
Toronto Blue Jays - Bo Bichette Total RBIs,Over 90.5,-115
Toronto Blue Jays - Bo Bichette Total RBIs,Under 90.5,-115
Toronto Blue Jays - Bo Bichette Total Runs Scored,Over 90.5,-115
Toronto Blue Jays - Bo Bichette Total Runs Scored,Under 90.5,-115
Toronto Blue Jays - George Springer Total Home Runs,Over 23.5,-110
Toronto Blue Jays - George Springer Total Home Runs,Under 23.5,-120
Toronto Blue Jays - Vladimir Guerrero Jr. Total Hits,Over 165.5,-115
Toronto Blue Jays - Vladimir Guerrero Jr. Total Hits,Under 165.5,-115
Toronto Blue Jays - Vladimir Guerrero Jr. Total Runs Scored,Over 90.5,-115
Toronto Blue Jays - Vladimir Guerrero Jr. Total Runs Scored,Under 90.5,-115
Toronto Blue Jays - Vladimir Guerrero Jr. Total Home Runs,Over 33.5,-105
Toronto Blue Jays - Vladimir Guerrero Jr. Total Home Runs,Under 33.5,-125
Toronto Blue Jays - Vladimir Guerrero Jr. Total RBIs,Over 101.5,-115
Toronto Blue Jays - Vladimir Guerrero Jr. Total RBIs,Under 101.5,-115
Washington Nationals - CJ Abrams Total Hits,Over 138.5,-115
Washington Nationals - CJ Abrams Total Hits,Under 138.5,-115
Washington Nationals - CJ Abrams Total Runs Scored,Over 78.5,-115
Washington Nationals - CJ Abrams Total Runs Scored,Under 78.5,-115
Washington Nationals - CJ Abrams Total Stolen Bases,Over 38.5,-115
Washington Nationals - CJ Abrams Total Stolen Bases,Under 38.5,-115
Washington Nationals - Lane Thomas Total Home Runs,Over 23.5,-115
Washington Nationals - Lane Thomas Total Home Runs,Under 23.5,-115
MLB 2024 Regular Season Team Specials,"LAD, ATL, NYY, PHI, HOU, TEX & BAL All To Win 80+ Regular Season Games Each",-190
MLB 2024 Regular Season Team Specials,"LAD, ATL, NYY, PHI, HOU, TEX & BAL All To Win 90+ Regular Season Games Each",+450
MLB 2024 Regular Season Team Specials,"ALL To NOT Make The MLB 2024 Playoffs: CHI White Sox, PIT Pirates, OAK Athletics, COL Rockies, WAS Nationals, KAN Royals",-500
MLB 2024 Regular Season Team Specials,"All To Make The MLB 2024 Playoffs: LA Dodgers, ATL Braves, PHI Phillies, HOU Astros, TEX Rangers, BAL Orioles",+250
MLB 2024 Regular Season Team Specials,"ATL Braves, BAL Orioles, ARZ Diamondbacks All To Make The Playoffs",+200
Arizona Diamondbacks Longest Regular Season Win Streak,Over 7.5,+150
Arizona Diamondbacks Longest Regular Season Win Streak,Under 7.5,-200
Arizona Diamondbacks Regular Season Win Total,Over 84.5,-115
Arizona Diamondbacks Regular Season Win Total,Under 84.5,-115
Arizona Diamondbacks To Make The Playoffs,Yes,+110
Arizona Diamondbacks To Make The Playoffs,No,-140
Atlanta Braves Longest Regular Season Win Streak,Over 9.5,+150
Atlanta Braves Longest Regular Season Win Streak,Under 9.5,-200
Atlanta Braves Regular Season Win Total,Over 101.5,-115
Atlanta Braves Regular Season Win Total,Under 101.5,-115
Atlanta Braves To Make The Playoffs,Yes,-3000
Atlanta Braves To Make The Playoffs,No,+1100
Baltimore Orioles Longest Regular Season Win Streak,Over 7.5,-115
Baltimore Orioles Longest Regular Season Win Streak,Under 7.5,-115
Baltimore Orioles Regular Season Win Total,Over 91.5,-125
Baltimore Orioles Regular Season Win Total,Under 91.5,-105
Baltimore Orioles To Make The Playoffs,Yes,-240
Baltimore Orioles To Make The Playoffs,No,+180
Boston Red Sox Longest Regular Season Win Streak,Over 6.5,-110
Boston Red Sox Longest Regular Season Win Streak,Under 6.5,-120
Boston Red Sox Regular Season Win Total,Over 78.5,-110
Boston Red Sox Regular Season Win Total,Under 78.5,-120
Boston Red Sox To Make The Playoffs,Yes,+260
Boston Red Sox To Make The Playoffs,No,-360
Chicago Cubs Longest Regular Season Win Streak,Over 7.5,+110
Chicago Cubs Longest Regular Season Win Streak,Under 7.5,-145
Chicago Cubs Regular Season Win Total,Over 84.5,-110
Chicago Cubs Regular Season Win Total,Under 84.5,-120
Chicago Cubs To Make The Playoffs,Yes,-130
Chicago Cubs To Make The Playoffs,No,+105
Chicago White Sox Longest Regular Season Win Streak,Over 4.5,-120
Chicago White Sox Longest Regular Season Win Streak,Under 4.5,-110
Chicago White Sox Regular Season Win Total,Over 62.5,-110
Chicago White Sox Regular Season Win Total,Under 62.5,-120
Chicago White Sox To Make The Playoffs,Yes,+2000
Chicago White Sox To Make The Playoffs,No,-20000
Cincinnati Reds Longest Regular Season Win Streak,Over 7.5,+175
Cincinnati Reds Longest Regular Season Win Streak,Under 7.5,-240
Cincinnati Reds Regular Season Win Total,Over 82.5,-110
Cincinnati Reds Regular Season Win Total,Under 82.5,-120
Cincinnati Reds To Make The Playoffs,Yes,+150
Cincinnati Reds To Make The Playoffs,No,-190
Cleveland Guardians Longest Regular Season Win Streak,Over 6.5,-110
Cleveland Guardians Longest Regular Season Win Streak,Under 6.5,-120
Cleveland Guardians Regular Season Win Total,Over 78.5,-110
Cleveland Guardians Regular Season Win Total,Under 78.5,-120
Cleveland Guardians To Make The Playoffs,Yes,+220
Cleveland Guardians To Make The Playoffs,No,-285
Colorado Rockies Longest Regular Season Win Streak,Over 4.5,-120
Colorado Rockies Longest Regular Season Win Streak,Under 4.5,-110
Colorado Rockies Regular Season Win Total,Over 59.5,-120
Colorado Rockies Regular Season Win Total,Under 59.5,-110
Colorado Rockies To Make The Playoffs,Yes,+2500
Colorado Rockies To Make The Playoffs,No,-20000
Detroit Tigers Longest Regular Season Win Streak,Over 6.5,-120
Detroit Tigers Longest Regular Season Win Streak,Under 6.5,-110
Detroit Tigers Regular Season Win Total,Over 81.5,-115
Detroit Tigers Regular Season Win Total,Under 81.5,-115
Detroit Tigers To Make The Playoffs,Yes,+155
Detroit Tigers To Make The Playoffs,No,-210
