Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"John Means","BAL",8.4671,8.8043,9.852,4.38091,39.68,22.68,0,0.6335,145.739,619.975,147.577,75.7004,70.9411,24.7919,34.3627,,6.364,118.228,7.30105,2.12204,3.44058,1.531,0.190698,0.0554259,0.1352715864777565,0.254774,1.2484,0.281471,0.721583,0.344724,,4.68238,1.18742,1.32297,276.54998779296875,,,,"16269"
"Bryce Elder","ATL",8.7247,7.9662,9.8882,4.69027,24.3,24.3,0,0,137.916,610.788,150.468,77.8356,71.8736,17.7299,50.4798,,6.5257,107.518,7.01633,3.29417,2.12993,1.157,0.176032,0.082647,0.09338494390249252,0.271709,1.45703,0.309749,0.699001,0.497557,,4.60708,1.17435,1.22654,402.57000732421875,,,,"27779"
"Jordan Wicks","CHC",7.0895,7.8912,8.9885,4.35325,27.06,21.06,0,0.6147,123.696,535.581,125.481,64.6327,59.831,17.4549,42.5932,,4.9815,103.882,7.55839,3.09904,2.43894,1.27,0.193962,0.0795271,0.11443479359149933,0.25713,1.35877,0.294615,0.720157,0.438658,,4.56367,1.15302,1.47615,437.07000732421875,,,,"30094"
"José Alvarado","PHI",4.2028,3.047,0,3.02812,74,0,21.567,6.0167,74,308.977,55.6179,27.4931,24.8979,6.40511,35.5731,,3.5251,97.0176,11.7994,4.32646,2.72727,0.779,0.313996,0.115132,0.19886431843042374,0.206085,1.23231,0.29565,0.774689,0.493642,,3.34323,1.14837,1.44328,179.8300018310547,,,,"17780"
"Randy Vásquez","SDP",7.0609,8.4154,9.1457,4.55731,22.68,22.68,0,0,126.169,553.13,125.916,68.936,63.8878,17.4954,51.6817,,7.6348,105.855,7.55093,3.68661,2.0482,1.248,0.191374,0.093435,0.09793881326913834,0.254986,1.40762,0.292661,0.709724,0.451053,,4.79013,1.13538,0.917226,574.1900024414062,,,,"24719"
"Zack Greinke",,7.0702,8.1629,8.3272,4.61965,22.68,22.68,0,0,122.091,525.8,137.11,67.3989,62.6686,19.6702,24.9303,,3.9262,85.074,6.27128,1.83775,3.41247,1.45,0.161799,0.047414,0.11438512802124023,0.275907,1.32721,0.29944,0.703644,0.43,,4.66493,1.1212,1.19324,747.0999755859375,,,,"1943"
"David Peterson","NYM",5.6293,4.6468,5.145,3.49732,39.34,11.34,0,0.6182,88.0453,375.295,78.8131,37.665,34.2136,9.34258,35.0837,,4.1811,93.1247,9.51922,3.58626,2.65436,0.955,0.248137,0.093483,0.1546543389558792,0.234542,1.29362,0.297438,0.756139,0.500998,,3.85699,1.11776,1.36431,627.3099975585938,,,,"20302"
"Ross Stripling","OAK",7.4449,9.7973,9.1275,4.40651,34.3,24.3,0,0.5768,139.333,593.998,145.363,73.4044,68.2193,20.9464,36.1316,,4.5536,108.216,6.99001,2.33386,2.99504,1.353,0.182182,0.0608278,0.12135394662618637,0.262715,1.3026,0.293332,0.710328,0.420979,,4.53204,1.11406,1.23363,539.9299926757812,,,,"13273"
"Pete Fairbanks","TBR",3.7351,2.7312,0,2.98831,66,0,29.798,3.3053,66,270.381,48.5054,23.954,21.9143,6.06467,25.5629,,2.7952,89.6226,12.2213,3.48585,3.50596,0.827,0.331468,0.094544,0.23692378401756287,0.200417,1.12225,0.290023,0.764197,0.437481,,3.02276,1.10479,1.0555,90.79000091552734,,,,"17998"
"Domingo Germán",,5.763,6.3501,7.1899,4.50386,17.82,17.82,0,0,98.5134,423.531,98.23,52.7842,49.2989,15.4338,31.5027,,4.4509,89.7166,8.19634,2.87803,2.8479,1.41,0.21183,0.0743811,0.1374489665031433,0.253446,1.3169,0.29316,0.71166,0.4,,4.56518,1.09833,1.10296,564.1699829101562,,,,"17149"
"Josiah Gray","WSN",8.0102,13.4157,11.1553,5.21017,30.78,30.78,0,0,177.095,785.693,178.153,108.64,102.522,32.2707,80.0833,,8.4816,161.41,8.20286,4.06984,2.01552,1.64,0.205436,0.101927,0.10350901633501053,0.255553,1.45818,0.289767,0.702139,0.356394,,5.30137,1.09819,0.898197,390.19000244140625,,,,"24580"
"Tyler Anderson","LAA",8.8734,11.2845,11.1797,4.95083,29.16,29.16,0,0,166.418,729.265,174.938,97.2984,91.5454,28.9383,59.5401,,7.1475,130.314,7.04745,3.21997,2.18867,1.565,0.178692,0.081644,0.09704798460006714,0.264026,1.40897,0.290069,0.707241,0.35212,,5.15166,1.078,1.27969,593.8300170898438,,,,"12880"
"Jake Irvin","WSN",6.1195,9.2523,7.7363,4.95998,22.68,22.68,0,0,123.68,544.125,128.881,72.8237,68.161,19.5414,48.511,,6.8478,100.437,7.30865,3.53008,2.07039,1.422,0.184584,0.0891541,0.0954299047589302,0.263687,1.43429,0.296484,0.696964,0.413297,,5.02769,1.07017,0.952608,999,,,,"21504"
"Lance McCullers Jr.","HOU",5.7748,4.8294,6.1031,4.07012,29.96,12.96,0,0.6525,91.3081,391.237,87.1347,44.8722,41.2928,10.8657,35.2218,,4.5899,88.87,8.75968,3.47172,2.52315,1.071,0.227151,0.0900268,0.13712455332279205,0.247947,1.34004,0.303028,0.723175,0.487488,,4.16349,1.06411,1.11862,679.2100219726562,,,,"14120"
"Casey Mize","DET",6.3359,8.0654,8.3601,4.63815,21.06,21.06,0,0,117.495,509.962,124.406,65.0315,60.5512,16.9585,35.0349,,6.5994,94.9891,7.27605,2.68363,2.71127,1.299,0.186267,0.068701,0.11756600439548492,0.265638,1.357,0.301496,0.695726,0.431199,,4.57752,1.06288,0.996652,445.3299865722656,,,,"20492"
