Name Dirty,Name Dirty 2,Name,G,GS,IP,BB,K,W,SV,HD,ERA,WHIP,K/9
"Griffin Canning
AngelsSP",Griffin Canning,Griffin Canning,28,28,150,42,165,9,0,0,4.08,1.21,9.9
"Shota Imanaga
CubsSP",Shota Imanaga,Shota Imanaga,26,26,149,34,131,9,0,0,4.17,1.2,7.91
"Sean Manaea
MetsRP, SP",Sean Manaea,Sean Manaea,24,24,126,42,142,7,0,0,4.21,1.23,10.14
"JP Sears
AthleticsSP",JP Sears,JP Sears,31,31,174,53,160,7,0,0,4.4,1.26,8.28
"Dean Kremer
OriolesSP",Dean Kremer,Dean Kremer,31,31,169,55,152,11,0,0,4.1,1.3,8.09
"Louie Varland
TwinsSP, RP",Louie Varland,Louie Varland,26,26,142,39,156,9,0,0,3.93,1.19,9.89
"Bryce Miller
MarinersSP",Bryce Miller,Bryce Miller,30,30,167,39,164,11,0,0,3.88,1.17,8.84
"Miles Mikolas
CardinalsSP",Miles Mikolas,Miles Mikolas,32,32,186,40,126,11,0,0,4.21,1.28,6.1
"Dane Dunning
RangersSP, RP",Dane Dunning,Dane Dunning,28,28,155,53,133,11,0,0,4.01,1.3,7.72
"Josiah Gray
NationalsSP",Josiah Gray,Josiah Gray,31,31,177,80,177,9,0,0,4.22,1.35,9
"Nestor Cortes
YankeesSP
Out",Nestor Cortes,Nestor Cortes,24,24,130,39,129,8,0,0,4.02,1.22,8.93
"Mason Miller
AthleticsSP",Mason Miller,Mason Miller,70,0,70,31,81,1,9,8,3.99,1.23,10.41
"Kyle Gibson
CardinalsSP",Kyle Gibson,Kyle Gibson,32,32,185,53,148,11,0,0,4.28,1.31,7.2
"Nick Lodolo
RedsSP
Out",Nick Lodolo,Nick Lodolo,24,24,127,40,162,7,0,0,3.97,1.21,11.48
"Brayan Bello
Red SoxSP",Brayan Bello,Brayan Bello,30,30,165,51,149,10,0,0,4.2,1.32,8.13
"Marcus Stroman
YankeesSP",Marcus Stroman,Marcus Stroman,24,24,133,45,120,9,0,0,3.65,1.25,8.12
"Kyle Harrison
GiantsSP",Kyle Harrison,Kyle Harrison,28,28,140,56,160,8,0,0,3.99,1.26,10.29
"Bryan Woo
MarinersSP",Bryan Woo,Bryan Woo,26,26,133,43,147,8,0,0,3.92,1.2,9.95
"Brady Singer
RoyalsSP
Out",Brady Singer,Brady Singer,30,30,169,52,152,9,0,0,4.05,1.3,8.09
"Seth Lugo
RoyalsSP",Seth Lugo,Seth Lugo,28,28,156,45,138,9,0,0,3.92,1.28,7.96
"Triston McKenzie
GuardiansSP",Triston McKenzie,Triston McKenzie,24,24,133,45,134,8,0,0,3.99,1.2,9.07
"Kutter Crawford
Red SoxSP, RP",Kutter Crawford,Kutter Crawford,28,28,134,40,142,9,0,0,4.03,1.21,9.54
"Clarke Schmidt
YankeesSP",Clarke Schmidt,Clarke Schmidt,31,31,169,58,170,9,0,0,4.21,1.3,9.05
"Patrick Sandoval
AngelsSP",Patrick Sandoval,Patrick Sandoval,29,29,153,72,151,8,0,0,4.29,1.46,8.88
"MacKenzie Gore
NationalsSP",MacKenzie Gore,MacKenzie Gore,28,28,142,60,157,8,0,0,4.18,1.31,9.95
"Shane Baz
RaysSP
Out",Shane Baz,Shane Baz,20,20,107,39,119,8,0,0,3.79,1.21,10.01
"Gavin Williams
GuardiansSP",Gavin Williams,Gavin Williams,26,26,134,55,134,9,0,0,3.83,1.26,9
"Ranger Suarez
PhilliesSP",Ranger Suarez,Ranger Suarez,25,25,139,53,132,9,0,0,3.95,1.33,8.55
"Logan Allen
GuardiansSP
Out",Logan Allen,Logan Allen,28,28,147,53,147,9,0,0,4.04,1.29,9
"Jameson Taillon
CubsSP",Jameson Taillon,Jameson Taillon,28,28,149,39,133,9,0,0,4.29,1.26,8.03
"Walker Buehler
DodgersSP
Out",Walker Buehler,Walker Buehler,24,24,133,36,123,10,0,0,3.72,1.17,8.32
"Jose Quintana
MetsSP",Jose Quintana,Jose Quintana,26,26,142,47,115,9,0,0,3.74,1.31,7.29
"Aaron Civale
RaysSP",Aaron Civale,Aaron Civale,24,24,128,34,119,9,0,0,3.8,1.2,8.37
"Garrett Whitlock
Red SoxRP, SP",Garrett Whitlock,Garrett Whitlock,35,12,94,20,95,3,2,15,3.54,1.17,9.1
"Taijuan Walker
PhilliesSP",Taijuan Walker,Taijuan Walker,30,30,166,57,129,10,0,0,4.23,1.31,6.99
"Taj Bradley
RaysSP",Taj Bradley,Taj Bradley,17,17,84,30,99,6,0,0,4.07,1.27,10.61
"Edward Cabrera
MarlinsSP",Edward Cabrera,Edward Cabrera,24,24,126,63,140,7,0,0,3.86,1.29,10
"Jack Flaherty
TigersSP",Jack Flaherty,Jack Flaherty,28,28,144,68,149,7,0,0,4.25,1.41,9.31
