Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Joey Votto",,80.6578,323.067,279.293,59.8642,34.0532,12.2781,0.798661,12.7343,34.5042,40.4962,37.3648,0.575194,88.4048,4.73379,1.49339,0.182439,4.67727,0.132571,0.214089,0.214342,0.115656,0.273642,0.422656,0.315787,0.400807,0.313787,0.716594,0.186465,2.10754,0.262347,-0.914472,-0.646175,38.133,-1.23083,97.0508,-1.56065,-0.876982,-2.7216320037841797,-7.684037387371063,0.0582576,695.1900024414062,2.00655,-1.09181,0.633883,"4314"
"Samad Taylor","SEA",11.5777,38.2427,33.7533,8.15484,6.03122,1.66481,0.0607636,0.398043,4.45009,3.62257,3.87805,0.0393618,9.66876,0.271081,0.153082,0.187244,0.519782,2.7834,0.45589,0.241602,0.101406,0.252826,0.401091,0.323317,0.329903,0.293418,0.65322,0.0883018,6.12924,0.325375,-0.201028,0.286121,3.86701,-0.792642,83.1679,0.0850931,-0.215533,-0.6992814019322395,-0.03686422109603882,0.0563175,748.5900268554688,2.65,-0.552778,2.07757,"22274"
"Leo Jimenez","TOR",7.30322,28.476,25.3982,6.12106,4.61456,1.13385,0.0344976,0.33815,3.18305,2.93289,2.265,0.0130273,5.6207,0.72332,0.0460763,0.0433924,0.714366,0.157007,0.0508972,0.241004,0.0795406,0.197384,0.402974,0.320385,0.328305,0.292293,0.64869,0.0873014,3.22667,0.296781,0.00206696,-0.048562,2.85283,-0.616807,85.0379,-0.046495,-0.0153391,-0.5570038482546806,0.1424464089795947,0.0551376,999,1.97444,-0.121653,2.05906,"sa3006891"
"Drew Romo","COL",10.1204,37.5172,35.0865,8.86396,6.09288,1.75166,0.0896642,0.929757,3.90581,3.99718,2.15415,0.0335014,7.46726,0.157667,0.061249,0.0576744,0.756969,0.621451,0.154727,0.252632,0.0574176,0.199035,0.288479,0.298342,0.387164,0.297922,0.685506,0.134532,4.14685,0.296598,-0.0500795,-0.00551758,3.934,-0.637262,69.9059,-0.0555971,-0.0675915,-1.45431499928236,0.7133055627346039,0.0535269,999,1.30236,0.179545,2.04611,"sa3014522"
"Vinny Capra","MIL",14.1467,43.7887,38.68,9.31378,6.95272,1.8692,0.0664235,0.425435,4.50432,4.36029,4.26076,0.0176794,9.09391,0.301308,0.0532544,0.493423,0.4378,0.450148,0.080635,0.240791,0.0973025,0.207677,0.468528,0.320493,0.325546,0.290894,0.646039,0.0847557,3.55247,0.304251,-0.0460101,-0.0325913,4.33603,-0.999377,79.9169,-0.0786014,-0.00826561,-1.168064035475254,0.21004718728363514,0.0531872,999,3.14371,0.669041,2.00986,"25040"
"Hanser Alberto",,33.373,111.496,104.796,26.4772,18.4572,5.51762,0.546788,1.95559,11.1441,11.8659,3.71176,0.0362224,16.2793,1.14164,0.764338,1.0824,1.96449,0.676106,0.298623,0.252655,0.0332904,0.146007,0.228005,0.283756,0.371723,0.283712,0.65548,0.119069,3.8685,0.280807,0.0243072,-0.170153,10.3755,-3.20971,76.5526,-0.145846,-0.445928,-3.331451267004013,0.06908780336380005,0.0528949,999,1.1043,-1.07651,1.77734,"11902"
"Jake Alu","WSN",41.8969,156.422,143.015,35.7853,24.9446,7.95948,0.520621,2.36058,15.7736,14.9081,9.811,0.0986049,32.7311,1.50305,1.27561,0.817076,2.48915,3.78272,1.00649,0.250221,0.0627215,0.209249,0.299746,0.302686,0.362674,0.291384,0.665359,0.112453,4.8405,0.30609,-0.200303,0.0531074,15.5527,-3.50636,80.0865,-0.147196,0.830117,-4.006091386079788,-0.8052935600280762,0.0514705,741.27001953125,4.30196,0.484032,1.69494,"25569"
"James Wood","WSN",15.514,59.9118,53.8786,12.3295,7.37139,2.75997,0.185255,2.01288,6.7341,6.86144,5.12405,0.0459932,19.9396,0.721549,0.0966396,0.0910161,0.839462,1.10636,0.176586,0.228839,0.0855265,0.332816,0.256978,0.303826,0.39902,0.306494,0.702846,0.170182,4.97728,0.322166,-0.0936214,0.0452557,6.70875,-0.591155,90.216,-0.0483657,-0.0460987,-0.7745485454797745,-0.7643385753035545,0.0500225,999,3.29796,0.449156,1.90901,"sa3016870"
"Jo Adell","LAA",74.6607,291.4,266.682,59.5339,34.3294,12.3448,1.28976,11.5699,34.47,35.294,19.3994,0.784261,99.319,3.43294,1.37475,0.510755,4.19919,4.51418,1.35706,0.223239,0.0665731,0.340834,0.195324,0.283153,0.409357,0.297507,0.69251,0.186117,5.15067,0.305177,-0.120033,-0.104344,30.4553,-5.05004,85.3366,-0.224376,0.146251,-5.344224646687508,-4.060512945055962,0.0494413,527.8099975585938,5.4548,-0.73619,0.833632,"20220"
"Mike Brosseau","KCR",13.4414,43.6273,40.058,9.03054,5.77181,1.84406,0.0339263,1.38073,4.2439,4.57717,2.86928,0.00762308,12.0713,0.585751,0.0831112,0.0311779,0.742104,0.170034,0.0624428,0.225437,0.0657679,0.276691,0.237695,0.286392,0.376571,0.289628,0.662963,0.151134,2.52957,0.286627,-0.0486047,-0.0633842,4.27417,-1.04156,80.5849,-0.111989,-0.0607541,-1.1441186219453812,0.14667534083127975,0.0485267,999,2.32522,-0.326164,1.98053,"19683"
"Tommy La Stella",,30.8366,100.031,90.5753,21.8658,15.2748,4.46393,0.156325,1.97069,10.217,9.57225,7.92452,0.0689217,15.7446,0.695079,0.749957,0.0856441,1.51534,0.120762,0.133585,0.24141,0.0792211,0.157398,0.503318,0.305022,0.359418,0.29235,0.66444,0.118009,2.03579,0.270276,-0.159572,-0.215809,10.0261,-2.16204,82.4398,-0.375382,-0.279407,-2.5157936215400696,-0.4046369045972824,0.0480982,999,1.21734,0.351501,1.78476,"12371"
"Zach Remillard",,25.8772,92.1612,82.4072,18.6507,13.94,3.18819,0.120548,1.40201,9.47646,7.34318,6.77385,0.164599,24.0309,1.65976,0.321707,0.998669,1.57581,2.51342,0.675549,0.226324,0.0735,0.260748,0.281881,0.2971,0.318978,0.275514,0.616077,0.0926535,4.61451,0.301046,-0.0356389,0.046426,7.94871,-3.2806,70.9649,0.0107871,0.535057,-3.24988956656307,0.5921056866645813,0.0475949,999,3.05306,0.0555282,1.84926,"19788"
"Terrin Vavra","BAL",22.1864,52.1121,45.7858,11.1066,8.1306,2.15242,0.108007,0.715531,6.06715,4.94098,4.95256,0.033785,10.9609,0.506265,0.283272,0.584241,1.81461,0.867908,0.108327,0.242577,0.0950367,0.210333,0.451838,0.321484,0.341189,0.296085,0.662673,0.098612,4.5921,0.30213,-0.0374069,0.0234111,5.38488,-0.964678,88.5697,-0.0139958,0,-0.7277175923809409,-0.5744283199310303,0.0467085,999,1.08965,-0.0813747,1.9803,"24400"
