,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
47,Nathan Eovaldi,TEX,SP,TB at BOS,5.5,5.5,0.576271186440678,0.4672897196261682,(-136),(+114),2021-04-07
48,Ryan Yarbrough,LAD,"SP,RP",TB at BOS,3.5,4.5,0.5555555555555556,0.6453900709219859,(-125),(-182),2021-04-07
49,Shane Bieber,CLE,SP,KC at CLE,8.5,8.5,0.5614035087719298,0.44642857142857145,(-128),(+124),2021-04-07
50,Matt Boyd,FA,"RP,SP",MIN at DET,5.5,5.5,0.43103448275862066,0.5614035087719298,(+132),(-128),2021-04-07
51,Kenta Maeda,DET,SP,MIN at DET,6.5,6.5,0.46511627906976744,0.5594713656387665,(+115),(-127),2021-04-07
52,Kyle Gibson,STL,SP,TOR at TEX,4.5,4.5,0.5454545454545454,0.5238095238095238,(-120),(-110),2021-04-07
53,Hyun Jin Ryu,FA,SP,TOR at TEX,5.5,5.5,0.5594713656387665,0.5,(-127),(EVEN),2021-04-07
54,Brandon Woodruff,FA,SP,MIL at CHC,6.5,6.5,0.47619047619047616,0.5575221238938053,(+110),(-126),2021-04-07
55,Kyle Hendricks,CHC,SP,MIL at CHC,4.5,5.5,0.5708154506437768,0.6124031007751938,(-133),(-158),2021-04-07
56,Trevor Bauer,FA,SP,LAD at OAK,8.5,9.5,0.5726495726495726,0.6240601503759399,(-134),(-166),2021-04-07
57,Jesus Luzardo,MIA,SP,LAD at OAK,5.5,5.5,0.5412844036697247,0.46511627906976744,(-118),(+115),2021-04-07
58,Aaron Nola,PHI,SP,NYM at PHI,7.5,7.5,0.49504950495049505,0.5,(+102),(EVEN),2021-04-07
59,David Peterson,NYM,"SP,RP",NYM at PHI,4.5,4.5,0.43478260869565216,0.5260663507109005,(+130),(-111),2021-04-07
60,Kevin Gausman,TOR,SP,SF at SD,6.5,6.5,0.44642857142857145,0.5726495726495726,(+124),(-134),2021-04-07
61,Blake Snell,FA,SP,SF at SD,7.5,7.5,0.46511627906976744,0.5689655172413793,(+115),(-132),2021-04-07
62,Justin Dunn,FA,SP,CWS at SEA,4.5,4.5,0.5283018867924528,0.47619047619047616,(-112),(+110),2021-04-07
63,Dallas Keuchel,FA,SP,CWS at SEA,4.5,4.5,0.5348837209302325,0.5,(-115),(EVEN),2021-04-07
64,Jack Flaherty,DET,SP,STL at MIA,6.5,7.5,0.5238095238095238,0.5983935742971888,(-110),(-149),2021-04-07
65,Pablo Lopez,MIN,SP,STL at MIA,4.5,5.5,0.5145631067961165,0.5260663507109005,(-106),(-111),2021-04-07
66,John Means,BAL,SP,BAL at NYY,4.5,5.5,0.6363636363636364,0.6168582375478927,(-175),(-161),2021-04-07
67,Jameson Taillon,CHC,SP,BAL at NYY,4.5,5.5,0.5967741935483871,0.6240601503759399,(-148),(-166),2021-04-07
68,Madison Bumgarner,FA,SP,ARI at COL,4.5,5.5,0.5983935742971888,0.635036496350365,(-149),(-174),2021-04-07
69,Antonio Senzatela,COL,SP,ARI at COL,3.5,3.5,0.5412844036697247,0.5145631067961165,(-118),(-106),2021-04-07
70,Taijuan Walker,PHI,SP,MIA at NYM,4.5,4.5,0.5283018867924528,0.5,(-112),(EVEN),2021-04-08
71,Jake Arrieta,FA,SP,CHC at PIT,4.5,4.5,0.46511627906976744,0.5967741935483871,(+115),(-148),2021-04-08
72,Tyler Anderson,LAA,SP,CHC at PIT,5.5,5.5,0.45454545454545453,0.6062992125984252,(+120),(-154),2021-04-08
73,Merrill Kelly,ARI,SP,ARI at COL,5.5,5.5,0.4444444444444444,0.5983935742971888,(+125),(-149),2021-04-08
